Timestamp;Time;Sensor1;Sensor2;Sensor3;Sensor4;Sensor5;jgjgkhgk
1627871056,9381738;09:24:16 \ 02.08.2021;33,16;10,04;8,5;7,19;0,0
1627871057,9445357;09:24:17 \ 02.08.2021;33,83;10,0;8,39;7,27;0,0
1627871058,959101;09:24:18 \ 02.08.2021;34,29;10,0;8,45;7,25;0,0
1627871059,9406972;09:24:19 \ 02.08.2021;33,83;10,01;8,43;7,22;0,0
1627871060,9490094;09:24:20 \ 02.08.2021;33,56;10,01;8,39;7,22;0,0
1627871061,9387133;09:24:21 \ 02.08.2021;33,2;10,02;8,45;7,23;0,0
1627871062,9398654;09:24:22 \ 02.08.2021;33,83;9,99;8,46;7,26;0,0
1627871063,9415517;09:24:23 \ 02.08.2021;33,68;10,06;8,39;7,29;0,0
1627871064,9340692;09:24:24 \ 02.08.2021;34,02;10,02;8,43;7,23;0,0
1627871065,945702;09:24:25 \ 02.08.2021;33,94;10,03;8,42;7,23;0,0
1627871066,9579291;09:24:26 \ 02.08.2021;33,76;10,01;8,46;7,23;0,0
1627871067,9490292;09:24:27 \ 02.08.2021;33,3;10,02;8,44;7,3;0,0
1627871068,9491131;09:24:28 \ 02.08.2021;33,4;10,01;8,38;7,24;0,0
1627871069,9389453;09:24:29 \ 02.08.2021;33,74;10,34;8,43;7,17;0,0
1627871070,9445412;09:24:30 \ 02.08.2021;32,85;10,03;8,48;7,21;0,0
1627871071,9350524;09:24:31 \ 02.08.2021;33,72;10,0;8,4;7,22;0,0
1627871072,943718;09:24:32 \ 02.08.2021;33,55;10,02;8,4;7,24;0,0
1627871073,950066;09:24:33 \ 02.08.2021;33,75;9,97;8,45;7,2;0,0
1627871074,9503403;09:24:34 \ 02.08.2021;33,57;10,02;8,4;7,24;0,0
1627871075,9445317;09:24:35 \ 02.08.2021;34,1;9,98;8,44;7,23;0,0
1627871076,9334989;09:24:36 \ 02.08.2021;34,01;10,01;8,42;7,27;0,0
1627871077,9433684;09:24:37 \ 02.08.2021;34,11;10,0;8,43;7,25;0,0
1627871078,944469;09:24:38 \ 02.08.2021;33,64;10,0;8,45;7,26;0,0
1627871079,9500794;09:24:39 \ 02.08.2021;34,01;10,01;8,42;7,25;0,0
1627871080,9479346;09:24:40 \ 02.08.2021;33,93;9,98;8,4;7,24;0,0
1627871081,9490924;09:24:41 \ 02.08.2021;33,56;10,03;8,44;7,23;0,0
1627871082,945318;09:24:42 \ 02.08.2021;33,38;9,99;8,44;7,19;0,0
1627871083,933143;09:24:43 \ 02.08.2021;33,57;10,03;8,44;7,27;0,0
1627871084,9418483;09:24:44 \ 02.08.2021;33,55;10,0;8,44;7,25;0,0
1627871085,950277;09:24:45 \ 02.08.2021;33,95;10,03;8,41;7,25;0,0
1627871086,9480345;09:24:46 \ 02.08.2021;33,57;10,03;8,46;7,23;0,0
1627871087,9447632;09:24:47 \ 02.08.2021;33,19;10,02;8,43;7,22;0,0
1627871088,9501398;09:24:48 \ 02.08.2021;33,93;10,0;8,46;7,27;0,0
1627871089,9503357;09:24:49 \ 02.08.2021;33,67;10,03;8,44;7,23;0,0
1627871090,9373062;09:24:50 \ 02.08.2021;34,19;10,02;8,46;7,29;0,0
1627871091,9331546;09:24:51 \ 02.08.2021;34,09;10,04;8,45;7,26;0,0
1627871092,9469995;09:24:52 \ 02.08.2021;33,48;10,03;8,41;7,26;0,0
1627871093,960698;09:24:53 \ 02.08.2021;33,73;10,01;8,47;7,29;0,0
1627871094,9489856;09:24:54 \ 02.08.2021;33,58;10,01;8,44;7,24;0,0
1627871095,9469023;09:24:55 \ 02.08.2021;33,84;10,02;8,44;7,24;0,0
