Timestamp;Time;Sensor1;Sensor2;Sensor3
1627274750.4833133;11:45:50 \ 26.07.2021;0.0;18.29;4.98
1627274751.4657362;11:45:51 \ 26.07.2021;0.0;17.81;5.0
1627274752.4692636;11:45:52 \ 26.07.2021;0.0;17.58;4.96
1627274753.4789958;11:45:53 \ 26.07.2021;0.0;18.05;4.92
1627274754.464613;11:45:54 \ 26.07.2021;0.0;17.84;4.98
1627274755.4674194;11:45:55 \ 26.07.2021;0.0;17.93;4.98
1627274756.4711099;11:45:56 \ 26.07.2021;0.0;17.95;4.93
1627274757.4649925;11:45:57 \ 26.07.2021;0.0;17.7;4.86
1627274758.4737306;11:45:58 \ 26.07.2021;0.0;17.72;4.93
1627274759.4715407;11:45:59 \ 26.07.2021;0.0;18.22;4.9
1627274760.4665515;11:46:00 \ 26.07.2021;0.0;18.0;4.91
1627274761.4772322;11:46:01 \ 26.07.2021;0.0;17.78;4.93
1627274762.4722564;11:46:02 \ 26.07.2021;0.0;18.19;4.95
1627274763.4646065;11:46:03 \ 26.07.2021;0.0;17.5;4.93
1627274764.478049;11:46:04 \ 26.07.2021;0.0;18.27;4.93
1627274765.473411;11:46:05 \ 26.07.2021;0.0;18.09;4.82
1627274766.470027;11:46:06 \ 26.07.2021;0.0;17.98;4.94
1627274767.480997;11:46:07 \ 26.07.2021;0.0;17.45;4.91
1627274768.4740515;11:46:08 \ 26.07.2021;0.0;17.76;4.99
1627274769.4730556;11:46:09 \ 26.07.2021;0.0;17.93;4.93
1627274770.4813511;11:46:10 \ 26.07.2021;0.0;17.99;4.93
1627274771.4955301;11:46:11 \ 26.07.2021;0.0;17.75;4.91
1627274772.4847982;11:46:12 \ 26.07.2021;0.0;17.7;4.94
1627274773.482293;11:46:13 \ 26.07.2021;0.0;17.77;4.95
1627274774.4908051;11:46:14 \ 26.07.2021;0.0;17.78;4.95
1627274775.4866881;11:46:15 \ 26.07.2021;0.0;18.07;4.92
1627274776.4955513;11:46:16 \ 26.07.2021;0.0;17.48;4.98
1627274777.489602;11:46:17 \ 26.07.2021;0.0;18.06;4.93
1627274778.4836602;11:46:18 \ 26.07.2021;0.0;18.18;4.91
1627274779.4949172;11:46:19 \ 26.07.2021;0.0;17.62;4.95
1627274780.4885027;11:46:20 \ 26.07.2021;0.0;18.25;4.92
1627274781.4808774;11:46:21 \ 26.07.2021;0.0;17.85;4.95
1627274782.4913292;11:46:22 \ 26.07.2021;0.0;17.82;4.93
1627274783.490776;11:46:23 \ 26.07.2021;0.0;17.91;4.93
1627274784.488094;11:46:24 \ 26.07.2021;0.0;18.45;4.91
1627274785.4943354;11:46:25 \ 26.07.2021;0.0;18.03;5.01
1627274786.4899457;11:46:26 \ 26.07.2021;0.0;18.16;4.93
1627274787.4832788;11:46:27 \ 26.07.2021;0.0;18.33;4.94
1627274788.4825149;11:46:28 \ 26.07.2021;0.0;18.03;4.92
1627274789.4971993;11:46:29 \ 26.07.2021;0.0;18.12;5.03
1627274790.5142121;11:46:30 \ 26.07.2021;0.0;18.3;4.97
1627274791.5249002;11:46:31 \ 26.07.2021;0.0;18.12;4.96
1627274792.5144143;11:46:32 \ 26.07.2021;0.0;17.94;5.05
1627274793.5179577;11:46:33 \ 26.07.2021;0.0;18.29;5.02
1627274794.515019;11:46:34 \ 26.07.2021;0.0;18.06;4.96
1627274795.5248868;11:46:35 \ 26.07.2021;0.0;18.52;4.92
1627274796.5243425;11:46:36 \ 26.07.2021;0.0;18.27;4.91
1627274797.5187418;11:46:37 \ 26.07.2021;0.0;17.68;4.89
1627274798.5240743;11:46:38 \ 26.07.2021;0.0;17.85;4.96
1627274799.5156603;11:46:39 \ 26.07.2021;0.0;17.54;4.97
1627274800.5277162;11:46:40 \ 26.07.2021;0.0;18.33;4.96
1627274801.5218027;11:46:41 \ 26.07.2021;0.0;18.34;4.9
1627274802.5153863;11:46:42 \ 26.07.2021;0.0;18.26;4.94
1627274803.5108962;11:46:43 \ 26.07.2021;0.0;17.86;4.93
1627274804.5214002;11:46:44 \ 26.07.2021;0.0;18.53;4.94
1627274805.5152788;11:46:45 \ 26.07.2021;0.0;18.44;4.96
1627274806.5143297;11:46:46 \ 26.07.2021;0.0;17.63;4.89
1627274807.5203846;11:46:47 \ 26.07.2021;0.0;18.15;4.92
1627274808.5340922;11:46:48 \ 26.07.2021;0.0;18.11;4.96
1627274809.54488;11:46:49 \ 26.07.2021;0.0;18.05;4.95
1627274810.5386095;11:46:50 \ 26.07.2021;0.0;17.89;4.98
1627274811.534899;11:46:51 \ 26.07.2021;0.0;18.23;4.88
1627274812.5289814;11:46:52 \ 26.07.2021;0.0;18.48;4.91
1627274813.5385234;11:46:53 \ 26.07.2021;0.0;18.29;4.92
1627274814.536671;11:46:54 \ 26.07.2021;0.0;18.47;4.96
1627274815.5333989;11:46:55 \ 26.07.2021;0.0;18.17;4.94
1627274816.5297246;11:46:56 \ 26.07.2021;0.0;18.24;4.93
1627274817.541473;11:46:57 \ 26.07.2021;0.0;17.96;4.97
1627274818.5326586;11:46:58 \ 26.07.2021;0.0;18.42;4.94
1627274819.5347145;11:46:59 \ 26.07.2021;0.0;18.2;4.85
1627274820.5435011;11:47:00 \ 26.07.2021;0.0;18.25;4.96
1627274821.540127;11:47:01 \ 26.07.2021;0.0;18.21;4.98
1627274822.5345283;11:47:02 \ 26.07.2021;0.0;18.55;4.98
1627274823.5319006;11:47:03 \ 26.07.2021;0.0;18.56;4.95
1627274824.533574;11:47:04 \ 26.07.2021;0.0;18.28;4.98
