Timestamp;Time;Sensor1;Sensor2;Sensor3;Sensor4;Sensor5
1627885761,8218396;13:29:21 \ 02.08.2021;14,34;5,78;6,27;5,48;0,0
1627885762,8213642;13:29:22 \ 02.08.2021;14,78;5,82;6,04;5,49;0,0
1627885763,835934;13:29:23 \ 02.08.2021;14,41;5,79;6,12;5,52;0,31
1627885764,8234148;13:29:24 \ 02.08.2021;14,79;5,8;6,09;5,49;0,0
1627885765,8198464;13:29:25 \ 02.08.2021;14,3;5,8;6,1;5,51;0,0
1627885766,816881;13:29:26 \ 02.08.2021;14,76;5,78;6,07;5,63;0,08
1627885767,831662;13:29:27 \ 02.08.2021;14,75;5,77;6,09;5,46;0,4
1627885768,8157673;13:29:28 \ 02.08.2021;14,92;5,83;6,09;5,49;0,75
1627885769,818294;13:29:29 \ 02.08.2021;15,02;5,82;6,11;5,48;0,13
1627885770,8210235;13:29:30 \ 02.08.2021;14,62;5,81;6,11;5,54;0,31
1627885779,8454466;13:29:39 \ 02.08.2021;14,67;5,78;6,06;5,49;0,44
1627885780,8505225;13:29:40 \ 02.08.2021;14,58;5,88;6,14;5,51;0,71
1627885781,8550208;13:29:41 \ 02.08.2021;14,77;5,79;6,12;5,46;0,13
1627885782,8566213;13:29:42 \ 02.08.2021;14,47;5,75;6,11;5,45;0,44
1627885783,8557413;13:29:43 \ 02.08.2021;14,46;5,8;6,08;5,51;0,26
1627885784,8595803;13:29:44 \ 02.08.2021;14,81;5,84;6,1;5,53;0,0
1627885785,844014;13:29:45 \ 02.08.2021;14,61;5,8;6,09;5,46;0,57
1627885786,8436399;13:29:46 \ 02.08.2021;14,52;5,76;6,09;5,45;0,22
1627885787,8539593;13:29:47 \ 02.08.2021;14,9;5,8;6,05;5,46;0,04
1627885788,8577802;13:29:48 \ 02.08.2021;14,83;5,85;6,09;5,45;0,26
