Timestamp;Time;Sensor1;Sensor2;Sensor3;Sensor4;Sensor5
1627887217,688134;13:53:37 \ 02.08.2021;14,26;5,85;6,05;5,4;0,44
1627887218,6722636;13:53:38 \ 02.08.2021;14,26;5,85;6,13;5,44;0,18
1627887219,6828463;13:53:39 \ 02.08.2021;14,47;5,83;6,11;5,39;0,31
1627887220,6815646;13:53:40 \ 02.08.2021;14,33;5,79;6,11;5,48;0,13
1627887221,6666079;13:53:41 \ 02.08.2021;14,4;5,82;6,09;5,47;0,0
1627887222,6865933;13:53:42 \ 02.08.2021;14,83;5,78;6,08;5,61;0,0
1627887223,6737988;13:53:43 \ 02.08.2021;14,46;5,84;6,1;5,42;0,18
1627887224,6761742;13:53:44 \ 02.08.2021;14,31;5,85;6,08;5,52;0,44
1627887225,6809042;13:53:45 \ 02.08.2021;14,62;5,79;6,11;5,43;0,26
1627887226,6800735;13:53:46 \ 02.08.2021;14,43;5,9;6,09;5,46;0,0
1627887227,6806371;13:53:47 \ 02.08.2021;14,51;5,79;6,12;5,45;0,66
1627887228,6679428;13:53:48 \ 02.08.2021;14,69;5,8;6,15;5,46;0,71
1627887229,6748333;13:53:49 \ 02.08.2021;14,65;5,78;6,11;5,65;0,0
1627887230,6749632;13:53:50 \ 02.08.2021;14,82;5,83;6,05;5,49;0,0
1627887231,6800952;13:53:51 \ 02.08.2021;14,73;5,85;6,12;5,51;0,49
1627887232,6893299;13:53:52 \ 02.08.2021;14,55;5,81;6,27;5,5;0,66
1627887233,6783023;13:53:53 \ 02.08.2021;14,31;5,82;6,12;5,44;0,44
1627887234,6848078;13:53:54 \ 02.08.2021;14,62;5,79;6,1;5,46;0,0
1627887235,6748068;13:53:55 \ 02.08.2021;14,62;5,87;6,14;5,47;0,35
1627887236,6708248;13:53:56 \ 02.08.2021;14,56;5,91;6,14;5,51;0,57
1627887237,678596;13:53:57 \ 02.08.2021;14,68;5,85;6,03;5,52;0,26
1627887238,6862526;13:53:58 \ 02.08.2021;14,62;5,81;6,05;5,49;0,13
1627887239,6826475;13:53:59 \ 02.08.2021;14,32;5,88;6,07;5,38;0,53
1627887240,6867058;13:54:00 \ 02.08.2021;14,56;5,8;6,11;5,43;0,49
1627887241,6832018;13:54:01 \ 02.08.2021;14,25;5,84;6,11;5,46;0,4
1627887242,6737683;13:54:02 \ 02.08.2021;14,41;5,84;6,11;5,48;0,44
1627887243,6873155;13:54:03 \ 02.08.2021;14,0;5,8;6,12;5,46;0,18
1627887244,6782832;13:54:04 \ 02.08.2021;14,64;5,81;6,15;5,45;0,66
1627887245,6818852;13:54:05 \ 02.08.2021;14,29;5,83;6,12;5,48;0,49
1627887246,6767037;13:54:06 \ 02.08.2021;14,55;5,83;6,08;5,46;0,04
1627887247,6829722;13:54:07 \ 02.08.2021;14,62;5,8;6,11;5,52;0,26
